GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude,City Boundaries_from_22pk_kkuz,Los Angeles Incorporated Cities,DPW_CITY_BOUNDARIES_from_dmu2_xaer,la_county_tracts_from_jczq_z5ui,Neighborhoods_from_9utn_waje,L.A. City Boundaries and Annexations/Detachments
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,"(34.2595555, -118.293602)",34.2595555,-118.293602,76,76,305,496,236,305
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,"(34.267357, -118.29024)",34.267357,-118.29024,76,76,305,1489,236,305
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,"(34.251998, -118.2926875)",34.251998,-118.2926875,76,76,305,199,236,305
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,"(34.2511895, -118.281014)",34.2511895,-118.281014,76,76,305,734,236,305
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,"(34.2455945, -118.271731)",34.2455945,-118.271731,76,76,305,1282,236,305
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,"(34.244255, -118.296428)",34.244255,-118.296428,76,76,305,735,236,305
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,"(34.224155, -118.354339)",34.224155,-118.354339,76,76,305,1283,210,305
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,"(34.216189, -118.3456235)",34.216189,-118.3456235,76,76,305,2311,210,305
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,"(34.210852, -118.3480495)",34.210852,-118.3480495,76,76,305,2153,228,305
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,"(34.2412955, -118.3292705)",34.2412955,-118.3292705,76,76,305,1284,210,305
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,"(34.274431, -118.30714)",34.274431,-118.30714,76,76,305,19,227,305
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,"(34.262834, -118.30683)",34.262834,-118.30683,76,76,305,200,227,305
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,"(34.2745565, -118.3439025)",34.2745565,-118.3439025,76,76,305,1285,130,305
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",103300,Shadow Hills,"(34.255439, -118.3527775)",34.255439,-118.3527775,76,76,305,1902,210,305
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",103400,Sunland,"(34.253933, -118.3147245)",34.253933,-118.3147245,76,76,305,1286,227,305
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",104103,Lake View Terrace,"(34.2819045, -118.3918905)",34.2819045,-118.3918905,76,76,305,736,130,305
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",104105,Pacoima,"(34.276146, -118.404645)",34.276146,-118.404645,76,76,305,201,172,305
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",104108,Pacoima,"(34.271671, -118.397614)",34.271671,-118.397614,76,76,305,2005,172,305
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",104124,Lopez/Kagel Canyons,"(34.287866, -118.376208)",34.287866,-118.376208,,,221,2215,145,221
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",104201,Pacoima,"(34.2867415, -118.4160805)",34.2867415,-118.4160805,76,76,305,668,172,305
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",104203,Pacoima,"(34.279058, -118.411554)",34.279058,-118.411554,76,76,305,737,172,305
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",104204,Lake View Terrace,"(34.2886315, -118.396898)",34.2886315,-118.396898,76,76,305,1287,130,305
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",104310,Pacoima,"(34.2762555, -118.4293915)",34.2762555,-118.4293915,76,76,305,202,172,305
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",104320,Pacoima,"(34.27316, -118.4202235)",34.27316,-118.4202235,76,76,305,1888,172,305
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",104401,Pacoima,"(34.2670615, -118.433071)",34.2670615,-118.433071,76,76,305,938,172,305
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",104403,Pacoima,"(34.2589085, -118.4345385)",34.2589085,-118.4345385,76,76,305,738,172,305
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",104404,Pacoima,"(34.2639205, -118.4286915)",34.2639205,-118.4286915,76,76,305,1074,172,305
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",104500,Pacoima,"(34.25551, -118.4257485)",34.25551,-118.4257485,76,76,305,20,172,305
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",104610,Pacoima,"(34.2604335, -118.4189955)",34.2604335,-118.4189955,76,76,305,203,172,305
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",104620,Pacoima,"(34.2579045, -118.422465)",34.2579045,-118.422465,76,76,305,2312,172,305
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",104701,Pacoima,"(34.268476, -118.4152165)",34.268476,-118.4152165,76,76,305,709,172,305
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",104703,Pacoima,"(34.2551165, -118.399872)",34.2551165,-118.399872,76,76,305,1180,172,305
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",104704,Pacoima,"(34.2625155, -118.4088415)",34.2625155,-118.4088415,76,76,305,21,172,305
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",104810,Pacoima,"(34.2502955, -118.411179)",34.2502955,-118.411179,76,76,305,204,172,305
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",104821,Pacoima,"(34.2465705, -118.416294)",34.2465705,-118.416294,76,76,305,1230,172,305
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",104822,Pacoima,"(34.245882, -118.4209225)",34.245882,-118.4209225,76,76,305,497,172,305
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",106010,Sylmar,"(34.3231715, -118.444538)",34.3231715,-118.444538,76,76,305,1288,224,305
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",106020,Sylmar,"(34.320427, -118.428524)",34.320427,-118.428524,76,76,305,520,224,305
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,"(34.3231945, -118.4087995)",34.3231945,-118.4087995,76,76,305,1289,224,305
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,"(34.305005, -118.414298)",34.305005,-118.414298,76,76,305,2313,224,305
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",106113,Sylmar,"(34.3062, -118.42203)",34.3062,-118.42203,76,76,305,739,224,305
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,"(34.302675, -118.426951)",34.302675,-118.426951,76,76,305,205,224,305
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",106403,Sylmar,"(34.306005, -118.441288)",34.306005,-118.441288,76,76,305,740,224,305
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,"(34.3146865, -118.448309)",34.3146865,-118.448309,76,76,305,1290,224,305
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",106406,Sylmar,"(34.321542, -118.4587415)",34.321542,-118.4587415,76,76,305,1214,224,305
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",106407,Sylmar,"(34.3105765, -118.4365505)",34.3105765,-118.4365505,76,76,305,22,224,305
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",106408,Sylmar,"(34.3132585, -118.440082)",34.3132585,-118.440082,76,76,305,209,224,305
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",106510,Sylmar,"(34.3236325, -118.4860245)",34.3236325,-118.4860245,76,76,305,1889,224,305
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",106520,Sylmar,"(34.308856, -118.4613605)",34.308856,-118.4613605,76,76,305,1215,224,305
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,"(34.3189225, -118.5218285)",34.3189225,-118.5218285,76,76,305,1292,95,305
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,"(34.3042795, -118.474247)",34.3042795,-118.474247,76,76,305,741,224,305
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,"(34.298025, -118.509153)",34.298025,-118.509153,76,76,305,677,95,305
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,"(34.2863475, -118.5084525)",34.2863475,-118.5084525,76,76,305,719,95,305
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",106643,Granada Hills,"(34.289784, -118.524711)",34.289784,-118.524711,76,76,305,1293,95,305
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",106645,Granada Hills,"(34.2905125, -118.4928915)",34.2905125,-118.4928915,76,76,305,1294,95,305
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,"(34.2790905, -118.4941245)",34.2790905,-118.4941245,76,76,305,2216,95,305
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",106648,Sylmar,"(34.293406, -118.4556035)",34.293406,-118.4556035,76,76,305,210,224,305
