Neighborhood|Venue|Venue Latitude|Venue Longitude|Venue Category|Category Number
Northridge - Census Tract 111205|Starbucks|34.256670969164766|-118.53714581405117|Coffee Shop|5
Mission Hills - Census Tract 109604|Matt & Tony's|34.2649555240275|-118.46695658426161|Sandwich Place|4
Northridge - Census Tract 113301|Cold Stone Creamery|34.24233|-118.559864|Ice Cream Shop|28
Northridge - Census Tract 113301|Romano's Macaroni Grill|34.242092|-118.556188|Italian Restaurant|31
Northridge - Census Tract 111205|Shogun Sushi|34.25587474343339|-118.53548230930048|Sushi Restaurant|10
Chatsworth - Census Tract 113212|Los Toros Mexican Restaurant|34.257464982333914|-118.60333022325304|Mexican Restaurant|1
Granada Hills - Census Tract 111400|Fatburger|34.25659391335472|-118.49982245478031|Burger Joint|6
Granada Hills - Census Tract 111400|Baja Fresh|34.25679527006128|-118.50065075180365|Fast Food Restaurant|2
Mission Hills - Census Tract 109603|The Safari Room|34.25710396810172|-118.46841129641408|Steakhouse|24
Northridge - Census Tract 111205|Village Tandoor|34.256938790248505|-118.53757935431601|Indian Restaurant|45
Sylmar - Census Tract 107010|Fiddler's Three Restaurant|34.30126077841191|-118.4419150584996|American Restaurant|7
Pacoima - Census Tract 104822|Papas & Tacos|34.2473788566905|-118.41912481372094|Mexican Restaurant|1
Pacoima - Census Tract 104404|Bobos Hamburgers|34.26351143440802|-118.42598727735198|Burger Joint|6
Granada Hills - Census Tract 111202|Frosty Queen|34.26503206624767|-118.51780893285093|Restaurant|9
Northridge - Census Tract 113301|Western Bagel|34.24234015597277|-118.55946819884849|Bagel Shop|32
Northridge - Census Tract 113301|Starbucks|34.24232451|-118.5597766|Coffee Shop|5
Pacoima - Census Tract 104403|Jack in the Box|34.26001744517412|-118.43001812696457|Fast Food Restaurant|2
Sylmar - Census Tract 107010|Pizza Hut|34.301885012933205|-118.44278544187546|Pizza Place|3
Tujunga - Census Tract 101210|Joselito's West|34.249891851757866|-118.29102570156024|Mexican Restaurant|1
Mission Hills - Census Tract 109603|McDonald's|34.24969085214714|-118.46709161996836|Fast Food Restaurant|2
Granada Hills - Census Tract 109200|Odyssey|34.282496803131856|-118.47301617762704|American Restaurant|7
Chatsworth - Census Tract 113212|Les Sisters|34.2570827802506|-118.60455852847304|Cajun / Creole Restaurant|33
Chatsworth - Census Tract 113321|McDonald's|34.25689174921698|-118.58961048153333|Fast Food Restaurant|2
Chatsworth - Census Tract 113213|The Country Deli|34.25015533218851|-118.60673278570174|Diner|20
Tujunga - Census Tract 101210|Tori Yen Restaurant|34.25125758655097|-118.2934782365301|Sushi Restaurant|10
San Fernando - Census Tract 109500|Taco Bell|34.27400618757499|-118.4488087057816|Fast Food Restaurant|2
Northridge - Census Tract 111205|Spudnuts|34.256552763152555|-118.53562556817114|Donut Shop|13
Northridge - Census Tract 113301|Rubio's|34.241276|-118.559175|Seafood Restaurant|37
Granada Hills - Census Tract 111400|Starbucks|34.25681105|-118.4997245|Coffee Shop|5
Chatsworth - Census Tract 113213|Rosie's BBQ Kitchen|34.25604921424771|-118.60593492823679|BBQ Joint|43
Sunland - Census Tract 103102|Mi Casita|34.25983387630427|-118.30928820238627|Mexican Restaurant|1
Northridge - Census Tract 111205|El Presidente|34.25758103557817|-118.53539493144034|Mexican Restaurant|1
Northridge - Census Tract 111205|Tutti Frutti Frozen Yogurt|34.256092296901166|-118.53545110660174|Frozen Yogurt Shop|21
Chatsworth - Census Tract 113321|Pizza Hut|34.25050673901269|-118.58881428837776|Pizza Place|3
Tujunga - Census Tract 101300|SUBWAY|34.24545822559292|-118.27482381672772|Sandwich Place|4
Northridge - Census Tract 113301|Togo's Sandwiches|34.24145252718176|-118.55919249507188|Sandwich Place|4
Sylmar - Census Tract 106407|Taqueria Los Tres Hermanos|34.31019148185111|-118.43417367452902|Mexican Restaurant|1
Sun Valley - Census Tract 102105|Gary Bric's Ramp|34.211445740142885|-118.34841424257425|Steakhouse|24
Chatsworth - Census Tract 113321|Taco Bell|34.25706453855811|-118.5939754409732|Fast Food Restaurant|2
Northridge - Census Tract 111205|Wendy's|34.25758374384629|-118.53706222842447|Fast Food Restaurant|2
Northridge - Census Tract 113301|Panda Express|34.24132505694695|-118.5593044571313|Chinese Restaurant|11
Northridge - Census Tract 111205|Shik Do Rak|34.25704467453037|-118.53514330946456|Korean Restaurant|19
Pacoima - Census Tract 104822|El Pollo Loco|34.248209|-118.420563|Fast Food Restaurant|2
Tujunga - Census Tract 101300|Los Burritos|34.2466333654082|-118.27516157736584|Mexican Restaurant|1
Chatsworth - Census Tract 113321|California Sushi Teriyaki|34.25029049614782|-118.588201808894|Sushi Restaurant|10
Tujunga - Census Tract 101300|McDonald's|34.244867|-118.274229|Fast Food Restaurant|2
Sylmar - Census Tract 106604|McDonald's|34.30351244245029|-118.47786203026772|Fast Food Restaurant|2
Tujunga - Census Tract 101220|Pan Tang|34.247874|-118.280642|Thai Restaurant|17
Chatsworth - Census Tract 113321|Fast Taco|34.25039146919369|-118.58806074633303|Mexican Restaurant|1
Northridge - Census Tract 111205|Jamba Juice|34.256644|-118.537313|Juice Bar|23
Granada Hills - Census Tract 111400|Carl's Jr.|34.25780739616108|-118.49863184176593|Fast Food Restaurant|2
Chatsworth - Census Tract 113213|Uncle Ernie's Pizza|34.24950255125014|-118.60634111475417|Pizza Place|3
Granada Hills - Census Tract 111400|Sushi Raw|34.2567181645734|-118.50008395741504|Sushi Restaurant|10
Tujunga - Census Tract 101300|Golf n' Grill|34.24487967456011|-118.27367162143086|Mongolian Restaurant|41
Mission Hills - Census Tract 109604|Pizza Hut|34.26527004211628|-118.46769578754902|Pizza Place|3
Pacoima - Census Tract 104810|Queen's Burgers|34.2537137967996|-118.41057501629234|Burger Joint|6
